,text,grade,date
0,"Service électricité très bien mais si…
Service électricité très bien mais si vous avez un surplus de règlement ça se complique.
Le mot le plus employé par les services patience 🤢🤢🤢
C'est pas un service comptable qu ils ont à priori mais plutôt une usine à gaz...
Franchement j'ai les nerfs de faire la trésorerie de Total
Date de l'expérience: 03 février 2023",1,Il y a 9 heures
1,"Honteux
Honteux, si je pouvais mettre zéro ils le mériteraient.
Quand on les appel et qu'on appuie sur l'option parler avec un agent, dans la seconde ça raccroche automatiquement! Donc impossibilité de parler avec un agent !!
Par contre si vous n'êtes pas client, ils seront bien la pour vous répondre et dans les secondes!! Tout pour le fric et nouveaux clients mais rien pour leurs clients!
Date de l'expérience: 02 février 2023",1,Il y a un jour
2,"incompréhension avec le service client…
incompréhension avec le service client au sujet d’augmentation de l’électricité de 3,77% en janvier alors que le prix est encore bloqué jusqu’au 1er février et de 16,83% pour le gaz en janvier alors que le gouvernement n'a autorisé que 15% d’augmentation.
J’ai juste l’impression qu’on ne parle pas la même langue. La personne s’est retranché derrière le service facturation en me disant que c’est ce service qui fait les factures. Elle n’a aucune explication valable à me donner. En clair c’est pas sa faute.
Date de l'expérience: 01 février 2023",1,ll y a 2 jours
3,"très satisfaite
En souscrivant en ligne je voulais avoir des renseignements avec un conseiller. En téléphonant je suis tomber sur une conseillère vraiment gentille et m'a aider à refaire mon dossier. Elle a répondu aux questions que je lui poser.
Date de l'expérience: 31 janvier 2023",5,Il y a un jour
4,"Très bonne application
Très bonne application, j'ai accès à ma consommation en temps réel et j'ai toujours un conseiller assez rapidement au téléphone en cas de besoin. Sur l'application, il manque 2 choses cependant : - Une capacité à simuler une consommation de gaz et anticiper le montant de la facture - Une traduction plus facile entre les unités de consommation de gaz et les euros.
Date de l'expérience: 29 janvier 2023",5,ll y a 5 jours
5,"J'ai toujours était fidèle et…
J'ai toujours était fidèle et respectueux depuis plus de 10 ans, je traverse 2 mois difficiles et je me fait coupé le courant en boucle pendant mes heures creuse. C'est pitoyable, je vie à la montagne il fait 8 degré dans mon logement.
Date de l'expérience: 30 janvier 2023",1,ll y a 4 jours
6,"N'allez jamais chez totalenergie !!
N'allez jamais chez totalenergie !!! Ce sont de menteurs et des escros !! Service client pourri! Je n'ai pas d'électricité depuis des jours, samedi on m'est dit que ce sera fonctionnel dès le dimanche matin et bien nooon, c'est de la mensonge ! je reste tout le weekend sans l'électricité avec un enfant en bas âge ! Merci totalenergie pour être aussi nuls et incompétents !!
Date de l'expérience: 29 janvier 2023",1,ll y a 6 jours
7,"Je recommande
Cela fait 5 ans que je suis chez eux (électricité) et je trouve le service plutôt bon.
J'ai effectué un déménagement et tout c'est bien passé, rapide et sans problème.
J'ai eu un soucis avant qu'on me mette un compteur Linky mais j'ai été satisfait de la résolution de celui ci.

Je recommande !
Date de l'expérience: 27 janvier 2023",4,27 janv. 2023
8,"Efficacité
Efficacité, rapidité,tout ça pour un branchement d'un Linky en moins de 24 h et par téléphone ! Merci à tout l'équipe !
Date de l'expérience: 01 février 2023",5,Il y a 11 heures
9,"A fuire
A fuire, grosse arnaque!!!!
On souscrit un contrat avec le conseiller qui nous indique un kW/h a 21 centimes. On signe ce contrat sans trouver le prix du kW/h qui est dans un tout petit tableau du contrat a la fin et finalement on est facturé a 53 centimes.
Même le service client nous a confirmer que notre prix était de 21 centimes sauf que sur la facture de clôture, le prix était de 53.
Date de l'expérience: 01 octobre 2022",1,25 janv. 2023
10,"Service client nul
Service client nul
J’appelle pour info sur ma consommation énergie et on me demande est ce que je suis expert?
Je suis ma conso et a la fin du mois le montant total du KWH consommé ne correspond pas.
LES CLIENTS PAYENT VOS SALAIRES!!!
ARRÊTEZ DE LES PRENDRENT POUR DES JAMBONS
Date de l'expérience: 25 janvier 2023",1,25 janv. 2023
11,"1er contrat chez ce fournisseur de gaz…
1er contrat chez ce fournisseur de gaz et électricité et des promesses non tenues : impossible de recevoir ma carte total sur laquelle doit être créditée un bonus. Contrat souscrit en septembre 2022, 3 ou 4 relances, soit disant 2 envois de ma carte a 2 adresses différentes,jamais reçues et a chaque fois 5 a 8 semaines pour un nouvel envoi. Le contrat n’est pas rempli !
Date de l'expérience: 24 septembre 2022",2,24 janv. 2023
12,"Je constate un grand professionnalisme…
Je constate un grand professionnalisme pour ce confondre en excuse auprès de leurs clients,
Mais rassurez-vous ils font la même chose pour leurs pollutions de notre Planète.
Date de l'expérience: 27 janvier 2023",1,27 janv. 2023
13,"Conseiller professionnel, raccordement rapide et sans souci
Je suis satisfaite car j'ai fait la démarche de souscription en ligne le vendredi après-midi, un conseiller m'a rappelé le lundi matin et mon contrat / raccordement était finalisé le mercredi matin. Les délais de raccordement promis ont été respectés. Le conseiller était clair, agréable, à l'écoute.
Date de l'expérience: 18 janvier 2023",5,23 janv. 2023
14,"service client aleatoire
si l inscription s est passée sans encombre la suite est plus laborieuse.... impossible d avoir le suivi conso... c est tres embetant cela rend delicat la gestion d un budget energie... je ne vous parle pas des messages lenifiants du service client... enfin bref pour l instant déçu, avoir un suivi consommation avec des compteurs connectés ne me semble pas hors de portée pour une entreprise comme total...
Date de l'expérience: 21 janvier 2023",1,21 janv. 2023
15,"Mitigé
Je me suis abonné il y a un peu plus d'un an à TotaEnergie avec un contrat 10% au dessous du tarif réglementé, mais est vite passé à 7% puis 0%.
Je suis satisfait du service, mais mitigé par la politique commerciale.
Date de l'expérience: 25 janvier 2023",4,25 janv. 2023
16,"ANARQUE NE SOUSCRIVEZ PAS !!!
ANARQUE NE SOUSCRIVEZ PAS !!!

J'ai souscrit un contrat chez total énergies fin novembre dans un logement de 50 m2 entièrement remis à neuf et très bien isolé, 2 mois après une facture de 1200e euros car ils vous force à souscrire une offre verte à 0,60 cts en heure pleine on s'en est aperçu trop tard et la facture est salé. Tout au plus avec un contrat eco on aurais payé 370 euros pour 2 mois.

Le montant de cette facture varie toute les semaines un coup 1152 euros un coup 1090 euros...

Je précise que je me suis fait parrainé par mon père qui est chez eux depuis des années de toute évidence ils en ont rien à faire.

J'ai donc pris la décision d'assumer mon erreur et de payer donc je demande une étalement de cette facture sur 12 mois en plus de ma consommation. Surprise ce dimanche un nouveau prélèvement de 1223 euros aucune facture correspond à ce montant.

A FUIR !!!

PS: Ils font 4 milliards de bénéfices en 2022 il faut arrêter d'enrichir ce type de société car les temps sont difficiles et ils n'ont aucune considération pour le consommateur.
Date de l'expérience: 29 janvier 2023",1,ll y a 5 jours
17,"Arnaque - Heures super creuses de chez Total Energie
Je possède un véhicule électrique depuis plus d'un an mais je ne peux pas bénéficier de cette offre. Pour pouvoir bénéficier de cette offre, vous êtes obligé d'acheter et d'installer une borne de recharge de chez Total Energie d'un montant de 990€ plus un abonnement de 5€/mois.
J'assimile ce procédé à de la vente forcée.
Date de l'expérience: 19 janvier 2023",1,19 janv. 2023
18,"Très bon fournisseur d'énergie
Je suis très satisfait de TotalEnergies.

Aucune coupure lors de mon changement de fournisseur d'énergie, TotalEnergies s'est occupé de tout.

Grâce à mon parrainage, recevez une réduction sur votre première facture TotalEnergies pour toute nouvelle souscription.

Référence client parrainage : 105594692
Date de l'expérience: 19 janvier 2023",5,19 janv. 2023
19,"Le service téléphonique A FUIR
Je reçois un message comme quoi je dois les joindre sauf qu'au téléphone on me raccroche 3 fois d'affilé après 30 min d'attente. Pour les avoir c'est toujours le même cirque, Agaçant !!
Date de l'expérience: 25 janvier 2023",1,25 janv. 2023
20,"Déconseille fortement
Bonjour,

Je déconseille.
Problèmes internet pour se connecter à notre espace
Facturation inexpliqué et inexplicable incessante même après résiliation du contrat
Service client avec des temps d'attente infini (même après premier échange interminable)
Récemment pénalisé par les services consommateurs...

Un enfer
Date de l'expérience: 18 janvier 2023",1,18 janv. 2023
21,"Impossible aujourd'hui d'accéder au…
Impossible aujourd'hui d'accéder au site ce n'est pas la 1ere fois, ni au service client !!!! C'est inadmissible !!!!!! Le fait que vous ayez eu une sanction ne vous donne pas le droit de ne pas me laisser accéder à mon espace ou à vous appeler !!!! Merci de résilier immédiatement le contrat qui nous lie. Je ne suis plus dans le lieu, je ne vais pas payer pour rien. Répondez. Résiliez tout de suite. Vous me répondez avec un mail automatique mais jusqu'à ce jour mon contrat était toujours actif. Vous n'êtes pas fiables du tout, vous n'avez respecté vos engagements envers une cliente.
Date de l'expérience: 18 janvier 2023",1,Actualisé le 22 janv. 2023
22,"tres bonne expérience avec cette…
tres bonne expérience avec cette conseillère,mais j'ai oublié de lui demander de gérer mes mensualités en fonction de mon compteur,pour ne pas payer une grosse somme à la fin de mon échéancier,pas comme avec ENGIE
Date de l'expérience: 18 janvier 2023",4,19 janv. 2023
23,"Ne recommande pas
Activation du suivi journalier en juillet 2022, janvier 2023 toujours aucune possibilité de le consulter.
Des facturations incompréhensibles entre les estimations et les relevés réels, impossible de prévoir son budget sauf à faire des calculs complexes.
Ce mois-ci baisse de 32% conso gaz et augmentation de 32% de l’électricité... Les factures de régularisations mettent des semaines avant d'être éditée et c'est la loterie totale. L'estimation indique en votre faveur 414€ et surprise !! A facturation on vous réclame plus de 200€. A l'heure ou tout le monde se serre la ceinture, impossible d'établir un budget avec ces factures de régularisations. Je ne recommande pas
Date de l'expérience: 19 janvier 2023",1,19 janv. 2023
24,"A fuir
Bonjour,

A fuir.
Problèmes de connexion à l'espace client
Impossible d'avoir un suivis de ces factures correct
Facturation de résiliation sans motif et/ou informations
Récemment pénalisé par les services consommateurs...

A fuir
Date de l'expérience: 17 janvier 2023",1,18 janv. 2023
25,"Nouvelle Adhérente 70
Bonjour, 😊 Toutes mes inscriptions ont été faites en ligne. Très facile il suffit de suivre les procédures bien explicites. Les conseillers que j'ai contactés par téléphone ou mail sont très aimables, réactifs, et à votre écoute. Que du bonheur !! 😉 Je ne regrette pas d'avoir changé de fournisseur d'énergie pour être venue et si bien accueillie chez TOTAL ÉNERGIE. Bonne journée à tous.✨🌸
Date de l'expérience: 02 janvier 2023",5,13 janv. 2023
26,"Cette Dame que j'ai eu au téléphone m'a…
Cette Dame que j'ai eu au téléphone m'a donné une explication parfaite et à bien répété plusieurs fois la rétractation possible dans les 14 jours. Ce que je n'utiliserais pas car mes connaissances chez Total Energie m'ont conforté dans mon choix et la qualité de l'explication de cette Dame au téléphone également.
Date de l'expérience: 11 janvier 2023",5,13 janv. 2023
27,"Avis total direct energie
Bonjour,
Chez total Direct Energie j’ai une baisse de ma facture de 10% par rapport à engie. De plus vivant seule avec 4 enfants il faut gerer sa consommation. Du coup ça m’aide dans mon petit budget.
Voici mon Nmr client pour un parrainage : 108880131
Ayez le réflexe d’utiliser un parrainage obligatoire pour pouvoir bénéficier de 20 euros en moins sur votre facture des votre inscription.
Concernant le service client est disponible avec un accueil très à l’écoute. Très rassurant lors d’une prise de contact pour une première inscription.
L’application très peu utilisée.
Je recommande Total Direct Energie concernant les gens indécis d’un changement de fournisseur.delphine
Date de l'expérience: 15 octobre 2022",5,16 janv. 2023
28,"Je reçois une mise en demeure pour des…
Je reçois une mise en demeure pour des factures déjà payés,vous êtes sérieux totalEnergies ?
Date de l'expérience: 25 janvier 2023",1,ll y a 6 jours
29,"Parfait et dépannage au top
Parfait souscription facile en ligne mais il faut quand même les rappeler pour finaliser le dossier de souscription. Contrat mis en place en 2 jours. J'ai même du faire appel au service dépannage un samedi et me conseiller m'a rapidement transféré au service enedis dépannage. Intervention en 2h en tout pour changer mon disjoncteur d'abonné pour réarmer le compteur
Date de l'expérience: 07 janvier 2023",5,8 janv. 2023
30,"Souscription sans accroc
Rapidité, facilité, service client joignable, efficace et aimable pour une souscription sans accroc laissant présager une bonne relation future. L'avenir le dira...
Date de l'expérience: 17 janvier 2023",5,20 janv. 2023
31,"Rien a signalé. Bon service
Rien a signalé, j'apprécie l'application de suivi des consommations, ce qui m'as permis d'optimiser mes appareils. je peu suivre mes consommations sur 2 logements sans difficulté. Adaptation facile des prélèvements. L'application m'a recommandé de diminué.
Date de l'expérience: 12 janvier 2023",5,12 janv. 2023
32,"Suivi Conso pratique mais capricieux
Je suis globalement content mais la remontée des consommations Elec et gaz n’est pas toujours fonctionnelle et cela rend difficile le suivi. Dommage car quand ça marche, c’est pratique de voir notre consommation pour se limiter.
Date de l'expérience: 14 janvier 2023",4,14 janv. 2023
33,"À fuir absolument
Impossible de mettre zéro étoile et heureusement pour eux, en plus d'arnaquer les gens à la souscription ils arnaquent également lors des résiliations de contrat, demander 550 euros de rappel après 5 mois sans chauffage sans être au logement, sans aucune explication autre que ""'c'est les prix"". C'est parfaitement honteux. Pas étonné que la compagnie ait été condamnée. À fuir absolument
Date de l'expérience: 06 janvier 2023",1,6 janv. 2023
34,"pub mensongère, plus de parrainage
Je suis parti chez eux en novembre, alors que j'étais parrainé et que je devais profiter de 20 euro et que je pouvais parrainé a mon tour je pensais faire une bonne affaire. Sauf qu'ils n'ont jamais retirer leurs pub de parrainage et 2 mois après il m'annonce que je ne peux pas en bénéficier. Merci je retourne chez edf bien moins chère.
Date de l'expérience: 06 janvier 2023",1,6 janv. 2023
35,"impossible de payer mes factures
Je paye mes factures tous les mois via le site Total Energie, mais votre site ne fonctionne plus depuis plus d'un mois et je n'ai pas pu payer mes factures. Je n'autoriserai pas le prélevement automatique, j'attends donc que le site soit à nouveau opérationnel pour payer mes factures.
Date de l'expérience: 09 janvier 2023",3,9 janv. 2023
36,"Entreprise pollueuse et climaticide
Entreprise pollueuse et climaticide. De plus elle n'hésite pas à financer des guerres pour faire du profit. Si vous avez encore un peu de dignité, je vous déconseille fortement de leur acheter quoi que ce soit.
Date de l'expérience: 02 janvier 2023",1,14 janv. 2023
37,"Très bon fournisseur d'énergie
Je suis entièrement satisfaite de Total Energie.

Ce fournisseur applique les tarifs réglementés pour l'électricité ET le gaz.

Aucune coupure lors de mon changement de fournisseur d'électricité et de gaz : Total Energie s'est occupé de tout.

Avec mon parrainage, recevez 20 € de réduction sur votre première facture.

Référence client parrainage : 111352845
Date de l'expérience: 04 janvier 2023",5,Actualisé le 9 janv. 2023
38,"A fuir !!
A fuir !!! Suite à déménagement nous avons suscrit un contrat de Total Energie sur proposition le site meilleurs taux. Au bout d’une année prix de kwh a été augmenté %49,5. Quelle belle fidélisation. Après ce claque je me suis rendu compte que j’ai payé beaucoup plus par rapport d’autres offres de marché. Tout cela pour que Total se met encore plus sur dos de ses clients et rempli ses poches. Quelle honte !!!
Date de l'expérience: 30 décembre 2022",1,3 janv. 2023
39,"Services de plus en plus déporables
Cliente chez eux depuis plusieurs années je n'ai que des problèmes depuis la rentrée
Trop de factures éditées, pas de détails disponibles, un suivi conso activé il y a plus de 2 mois et toujours d'accès, aucune réponse du service technique, un site et une application constamment indisponible
Service de plus en plus déplorable ...
Je compte me désabonner et appeler la concurrence
Date de l'expérience: 03 janvier 2023",1,3 janv. 2023
40,"Déçu du service client j'ai demander…
Déçu du service client j'ai demander plusieurs fois le changement de mon adresse mail et téléphone car impossible de ce connecter on m'a dit que ça serai fait toujours rien après 3 semaine yen a encore qui fond leur boulot correctement comme d habitude
Date de l'expérience: 16 décembre 2022",1,7 janv. 2023
41,"Hausse de l'électricité...
Dans le contexte actuel de hausse généralisée coté énergie; je n'ai pas à me plaindre de TotalEnergies malgré un relèvement (acceptable) de la mensualité de mon contrat...
Date de l'expérience: 15 janvier 2023",4,15 janv. 2023
42,"Service client réactif et à l’écoute
Service client réactif et à l’écoute. Newsletter personnalisée avec conseils associés sur notre consommation domestique. C’est très appréciable surtout en ce moment avec l’inflation des prix.
Date de l'expérience: 12 janvier 2023",5,12 janv. 2023
43,"TOTAL ÉNERGIE ESCROC
Fuyez ce fournisseur qui est le plus gros arnaqueur de tous... Mon tarif de base par mois a exploser depuis un an je suis a 120euros par mois pour 17m2 une tele playstation4 et un ordinateur et une ampoules coute si chere a faire marcher ??? Bande descroc qui sont c tout n'allait pas chez eux surtout, ceux qui veulent perdre leur argent inutilement et sans savoir précisément a quoi c du car en plus c'est de la publicité mebsogere qui il font je vous invite tous a regarder les différents reportages sur ce groupe plus que degeulasse avec certains de ses clients sans aucune pitié il vous pmumeront !
Date de l'expérience: 06 janvier 2023",1,6 janv. 2023
44,"Entreprise à son image!!!
Entreprise à son image!! site totalement désuet dans le sens ou d'autre font beaucoup mieux. Parmi mes problèmes:
Perte d'historique
surfacturation (avec rattrapage bien entendu)
Site lent
Site pas toujours accessible
Malgré la promesse de suivre sa consommation gaz à l'heure ce n'est pas fonctionnel.
Je trouve donc inadmissible le fait qu'une société qui ne gère rien d'autre que la relation client par son site ait un site totalement inapte et gérer au moindre cout.
PS je travaille dans l'informatique.
Date de l'expérience: 02 janvier 2023",1,2 janv. 2023
45,"Engagement tarif non respecté
TotalEnergie a modifié arbitrairement mon contrat. L'engagement de la réduction de -7% par rapport au tarif réglementé est devenu -5%. Alors que TotalEnergie fait des milliards de bénéfice. TotalEnergie n'a pas respecté le contrat clients.
Date de l'expérience: 01 novembre 2022",2,7 janv. 2023
46,"Assistance chaudière
J'ai souscrit une assistance chaudière auprès de Total qui eux utilise mondial assistance, le délai du contrat est une intervention en 3h cela va faire 2 semaines et ma chaudière est toujours en panne, si vous utilisez un service tiers pour les dépannage assurez-vous que celui-ci soit fiable, je résilié tous mes contrats pour ce manque de professionnalisme.
Date de l'expérience: 20 décembre 2022",2,31 déc. 2022
47,"Une entreprise qui se modernise
Cette entreprise se contente de travailler dans l'économie traditionnelle sans se laisser trop influencer par des effets de mode. Elle sait aussi dans une certaine mesure résister aux pressions conjoncturelles des pouvoirs publics.
Date de l'expérience: 01 janvier 2023",5,6 janv. 2023
48,"Bonne accessibilité à mon compte.
Bonne accessibilité à mon compte.
Je rectifie mon chauffage en conséquence.
Date de l'expérience: 28 janvier 2023",5,ll y a 7 jours
49,"DES VOLEURS ! FUYEZ
DES VOLEURS
FUYEZ
J'ai souscrit à une offre via un commercial au téléphone en pensant que j'allais payer le prix normal.
Celui-ci m'a en fait abonné à une offre verte ou je me suis rendu compte que je payais 2,5 fois plus cher que le prix normal. Le vendeur ne me l'a évidemment jamais signalé.
1er mois de froid et une facture de 300 euros alors que je vis dans un 30m2.
J'ai porté une réclamation pour que mon échange avec le vendeur soit écouté pour prouver ma bonne foi mais on m'a fait part à plusieurs reprises que ma demande n'est pas recevable.
Ils refusent catégoriqement de me rembourser une partie de cette facture, alors que lorsque l'on se rend sur le site Total Energie (14/01/2023) un gros bandeau rouge apparait pour mentionné un message du gouvernement stipulant qu'ils viennent d'être condamné pour abuser de leur clientèle sur plusieurs services.
DES VOLEURS
FUYEZ
Date de l'expérience: 14 janvier 2023",1,14 janv. 2023
50,"Irrespect des utilisateurs
Bonjour, cliente depuis de nombreuses années de Total Energie et utilisatrice de l application dédiée je suis très déçue en ces périodes difficiles de constater que cette application ne donne plus de résultats depuis le 20 décembre et nous sommes le 28 décembre... Comment suivre sa conso de cette façon avec efficacité !
Date de l'expérience: 28 décembre 2022",2,29 déc. 2022
51,"Globalement satisfait du service
Globalement satisfait du service, de la communication et de l'application très efficace avec le couplage du Suivi Conso. Globalement satisfait du service, de la communication et de l'application très efficace avec le couplage du Suivi Conso.
Date de l'expérience: 02 janvier 2023",5,2 janv. 2023
52,"Référence inadaptée aux Comparaisons
La référence utilisée pour comparer ma consommation de décembre est inappropriée. En effet, j'occupe une maison de 170 mètres carrés toute la journée car nous sommes retraités, et j'ai une suggestion de consommation de 880 kWh pour le mois de décembre, on regarde ma consommation réelle qui est de 1800 kilowatt-heure. Sachant qu'il était établi que la consommation moyenne d'une maison de 120 mètres carrés est de 14000 kWh par an et que la monotone de charge se déforme en hiver je ne vois pas comment je pourrais consommer 880 kilowatt-heure pour ce dernier mois. Ou l'algorithme est de référence défectueux ou le panel choisi est complètement inapproprié Rémi Pléau ingénieur thermicien retraité.
Date de l'expérience: 20 décembre 2022",5,5 janv. 2023
53,"Frais de remise en service d'urgence facturés abusivement
Un beau jour un samedi, plus d'électricité, je me rends compte après recherche que Total Energies a clôturé mon contrat par erreur. Après 1h30 à me balader au téléphone de service en service, ils finissent par remettre l'électricité en urgence... et me facturent 53€ de frais de remise en urgence !!! A ce jour, 3 mois plus tard, aucun remboursement en vue et aucune réponse à mes mails de demande de remboursement !! Alors que l'erreur vient de chez eux !! Incroyablement frustrant, quelle bande de gros nuls.
Date de l'expérience: 27 décembre 2022",1,27 déc. 2022
54,"suppression de la remise
très surpris que malgré la hausse des prix de l'énergie la remise consentie à la souscription du contrat ne soit pas maintenue je ne vois pas en quoi le prix influe sur la remise ?? elle était déjà passée de 7% à 5%.......
Date de l'expérience: 04 janvier 2023",4,4 janv. 2023
55,"Tarifs OK / Service client et suivi à revoir
En termes de tarifs et de fourniture d'électricité rien à redire. Par contre côté service client et interface web ou mobile c'est une vraie catastrophe. Bug à l'ouverture de mon contrat, il apparait en double, un qui est actif et l'autre en cours d'activation : le service client m'avait dit que cela allait être réglé il y a 6 mois ... ça ne bouge pas. Pour ce qui est de mon contrat actif (Gaz + électricité), le logement est indiqué comme faisant 10m² ...il en fait presque 200 : le service client ne peut visiblement pas modifier ça, donc le suivi de ma conso indique toujours que je suis très largement au dessus de ce que je devrais consommer, il ne sert donc à rien. Très régulièrement le suivi journalier des consommations ne s'actualise plus (depuis le 3 janvier pour le gaz par exemple), donc suivi précis impossible. A chaque demande le service client me répond dans un Français aléatoire que ça vient de chez eux et que ça va être résolu. C'est effarant de voir une si grande entreprise ne pas être capable de développement au moins un système informatique fiable autour de leurs services !
Date de l'expérience: 19 janvier 2023",3,19 janv. 2023
56,"Payer nos erreurs !!!
Un conseiller a fait une erreur sur mon transfert de contrat à la suite de mon déménagement…
Cette erreur s’élève à plus de 500 euros, ils reconnaissent que l’erreur vient du conseiller mais c’est moi qui doit quand même payer l’erreur car les factures sont déjà éditées…ils veulent rien savoir c’est fou quand même !!! Ils me proposent un échéancier pour payer l’erreur du conseiller…
Date de l'expérience: 22 décembre 2022",1,22 déc. 2022
57,"FUIR Scandaleux et peu recommandable
scandaleux et peu recommandable : arnaques, des choses non dites (bizarrement, condamnés pour ces raisons-ci fin 2022), absolument pas à l'écoute. 4 personnes, 4 discours différents. Un seul point commun : me prendre pour une idiote et récupérer mon argent. Je suis choquée.
Date de l'expérience: 26 décembre 2022",1,27 déc. 2022
58,"Recalculer bien vos factures
Faites très attention ils leurs arrivent souvent de se « tromper » je m’explique, une facture de 141e éditée qui essaye d’être Prélevée. On les appelle pour savoir d’ou elle sort et en recalculant avec eux c’etait en fait 110e a régler. Un écart de 31euros « sans faire exprès » la personne de chez Total s’excuse et fait la mise a jour… si on ne vérifiait pas on se serait fait voler de 31e. C’est la deuxième fois. Attention combien d’erreur font ils « par hasard » ?
Date de l'expérience: 22 décembre 2022",1,22 déc. 2022
59,"Je suis partie de chez totale énergie…
Je suis partie de chez totale énergie ,ils me doivent toujours 58 euros qui d'après le mail qu'ils m'ont envoyé devait etre versé sur mon compte bancaire au plus tard le 19 décembre ,a ce jour ,je n'ai toujours pas été rembourser !!!!
Date de l'expérience: 30 décembre 2022",1,30 déc. 2022
60,"Je demande la résiliation de mon…
Je demande la résiliation de mon abonnement gaz pour cause de déménagement et j envoie mon auto relevé le 3 décembre. Le 6 décembre je reçois un sms me disant que personne de grdf ne pourra venir relever le compteur avant mi janvier. Finalement total energie m indiquer un relevé de compteur par grdf le 6 décembre de 150m3 de plus que mon compteur.
Date de l'expérience: 18 décembre 2022",1,18 déc. 2022
61,"Très bonne et régulière information sur…
Très bonne et régulière information sur ma consommation. Effort de Total à nous encourager de réduire notre consommation par des aides pécuniaires
Avec l'antériorité de ce contrat, je peux comparer ma consommation avec 15 mois de recul
Date de l'expérience: 28 décembre 2022",5,28 déc. 2022
62,"Le service est pas mal
Le service est pas mal, mais ils n’ont pas su regrouper mon compte électricité et gaz à cause d’une erreur de la part d’un propriétaire de l’immeuble qui s’était trompé de compteur. Dommage car c’est moins pratique
Date de l'expérience: 01 janvier 2023",4,1 janv. 2023
63,"HARCELER POUR 7€!!!
Voici mon cas: j'ai été démarché par tél pour une souscription chez total énergie que j'ai validé, mais
après réflexion je me suis rétracté avant les 14 jours
comme prévu par la loi.
maintenant il me harcelle pour 7€ alors que je n'ai
rien consommer!
ils me menace même de transférer le dossier a un huissier de justice alors que ce groupe a fait des milliards de bénéfice, on croit rêver!
Date de l'expérience: 07 novembre 2022",1,17 déc. 2022
64,"Sérieux
Nous avons souscrit a TotalEnergie car Leclerc énergie nous avait lâché. J’aime l’application qui permet de suivre sa consommation en direct. J’aime le tarif heures super creuse.
Date de l'expérience: 07 janvier 2023",5,7 janv. 2023
65,"un enfer pour avoir le remboursement du…
un enfer pour avoir le remboursement du dépôt de garantie, je suis a ma 3e mois d'attente
Date de l'expérience: 23 janvier 2023",1,23 janv. 2023
